angry,calm,disgust,fearful,happy,neutral,sad,surprised,speaker,phrase,start_end_time
16.1%,9.0%,12.0%,12.3%,12.5%,10.0%,13.5%,14.6%,Truck Driver," Hey Fidel, I'm sorry, this one.","(2.591, 4.472)"
16.9%,9.0%,16.2%,11.6%,11.5%,9.9%,12.6%,12.3%,Routing Operator,I'm done with the truck.,"(4.673, 6.194)"
16.8%,9.0%,13.1%,12.0%,12.0%,9.5%,13.2%,14.3%,Truck Driver,"Okay, perfect, perfect.","(6.854, 9.116)"
16.5%,9.0%,14.4%,11.2%,12.1%,9.8%,12.9%,14.2%,Routing Operator,What time is my clock going to kick in tomorrow?,"(9.216, 11.017)"
17.4%,8.8%,13.4%,12.5%,11.6%,10.0%,12.5%,13.8%,Truck Driver,"Let me see real quick.One second.For tomorrow it says open window.Let me double check that real quick, Fidel. I have a 8 a.m.appointment time for the delivery.On Wednesday?On Wednesday, yes, sir.All right.Yeah, yeah.But it's a 24-7 facility, so if you have any trouble on the route, just give me a call so we can fix it, okay?","(11.938, 54.124)"
17.1%,8.6%,13.7%,12.2%,12.0%,10.2%,12.5%,13.6%,Routing Operator,"All right.Yeah, I'm not leaving until tomorrow.I'm out of time, so just use PC out here.","(55.045, 58.987)"
15.1%,9.8%,13.2%,12.5%,11.9%,10.7%,13.8%,12.9%,Truck Driver," No, no, it's fine, it's fine.Are you at HQ, right?","(59.611, 62.933)"
14.7%,9.7%,11.7%,12.0%,13.2%,10.4%,12.7%,15.6%,Routing Operator,"Yeah, I'm out of time.","(63.514, 64.934)"
16.0%,9.6%,13.6%,11.5%,12.0%,9.7%,13.3%,14.4%,Truck Driver,"No, it's fine, you can sit down at the headquarters.","(65.515, 69.197)"
16.6%,8.4%,12.9%,12.6%,12.5%,10.4%,12.5%,14.3%,Routing Operator,They rule with YARMUV?They use YARMUV?,"(69.457, 73.34)"
17.1%,9.0%,13.8%,12.0%,11.7%,10.3%,12.4%,13.9%,Truck Driver,"Oh, yeah, YARMUV, it's okay, it's fine.And you can also take the 15 minutes for the post-trip.It won't count like a violation, so you can take the 15 minutes for the post-trip.","(73.72, 89.967)"
17.2%,8.2%,13.7%,13.1%,11.7%,10.7%,12.3%,13.3%,Routing Operator,"Oh, I could use it with the YARMUV?","(91.128, 93.368)"
17.5%,8.7%,13.4%,12.4%,11.6%,10.0%,12.5%,13.9%,Truck Driver,"Yeah, yeah, yeah.Once you use the YARMUV and park, you can put yourself on non-duty.Post-trip?For the post-trip.Yes, sir.","(93.388, 105.21)"
18.3%,8.6%,15.6%,11.1%,11.5%,10.1%,11.6%,13.3%,Routing Operator,Get out of YARMUV to on-duty?,"(109.691, 112.692)"
16.9%,8.6%,13.1%,12.2%,12.2%,10.6%,12.5%,14.0%,Truck Driver,"Exactly, yeah. Just before you end with the yard move, put yourself on duty, make the post-trip, and then sleep or burst off or off duty.All right.Sleep or burst off.Yeah.","(113.412, 126.137)"
17.6%,9.1%,14.3%,11.4%,12.0%,8.8%,13.2%,13.6%,Routing Operator,All right then.,"(126.177, 126.737)"
12.5%,16.2%,11.3%,9.9%,14.1%,11.0%,12.8%,12.3%,Truck Driver,All right.,"(127.318, 127.698)"
12.0%,14.3%,11.5%,10.4%,13.6%,10.7%,14.4%,13.1%,Routing Operator,Thank you.,"(127.758, 128.019)"
16.7%,8.7%,13.4%,12.2%,12.4%,10.0%,12.7%,13.9%,Truck Driver,Take care.Bye-bye.,"(128.039, 129.08)"
